img_nr,iso,ss,exp,r_avg,g_avg,b_avg
469,100,23413,23318,4811.93,4555.92,4814.08
470,100,23469,23375,4812.96,4556.96,4815.69
471,100,23507,23413,4815.50,4557.78,4817.99
472,100,23564,23469,4816.47,4558.76,4819.18
473,100,23621,23621,4818.95,4560.59,4821.97
474,100,23658,23621,4821.06,4561.56,4823.73
475,100,23715,23621,4821.70,4562.06,4824.31
476,100,23772,23677,4822.72,4563.30,4825.90
477,100,23810,23715,4824.83,4564.27,4827.70
478,100,23866,23772,4825.98,4565.33,4829.17
479,100,23923,23828,4827.92,4566.27,4830.51
480,100,23961,23866,4828.89,4566.87,4831.89
481,100,24017,23923,4830.63,4567.92,4834.27
482,100,24055,23961,4831.56,4568.42,4834.56
483,100,24112,24017,4834.30,4570.74,4837.71
484,100,24169,24074,4836.64,4571.47,4839.80
485,100,24207,24112,4838.05,4572.46,4841.01
486,100,24263,24169,4837.34,4572.66,4840.67
487,100,24320,24225,4840.46,4573.91,4843.49
488,100,24358,24263,4840.35,4574.07,4843.74
489,100,24414,24320,4842.35,4575.43,4845.93
490,100,24471,24377,4844.42,4576.77,4848.10
491,100,24509,24414,4845.43,4577.19,4848.71
492,100,24566,24471,4846.85,4578.28,4850.52
493,100,24622,24528,4848.59,4579.15,4851.75
494,100,24660,24566,4848.64,4579.12,4851.24
495,100,24717,24622,4851.25,4581.07,4854.42
496,100,24774,24679,4854.87,4583.16,4858.49
497,100,24811,24717,4856.64,4584.29,4859.98
498,100,24868,24774,4858.24,4585.50,4861.66
499,100,24906,24811,4857.24,4585.08,4860.49
500,100,24963,24868,4859.71,4586.30,4862.61
501,100,25019,24925,4861.56,4587.81,4864.69
502,100,25057,24963,4863.66,4588.92,4867.78
503,100,25114,25019,4865.32,4590.04,4868.60
504,100,25171,25076,4867.13,4591.04,4870.31
505,100,25208,25114,4867.46,4591.30,4871.11
506,100,25265,25171,4870.26,4593.02,4874.02
507,100,25322,25227,4871.92,4594.20,4875.92
508,100,25360,25265,4871.01,4593.73,4874.76
509,100,25416,25322,4870.52,4593.22,4874.39
510,100,25473,25379,4873.53,4595.24,4877.44
511,100,25511,25416,4877.16,4597.52,4880.49
512,100,25568,25473,4877.96,4597.91,4882.22
513,100,25624,25530,4879.87,4598.96,4883.82
514,100,25662,25568,4880.12,4599.19,4883.51
515,100,25719,25624,4882.73,4600.64,4886.27
516,100,25757,25662,4884.27,4601.79,4887.46
517,100,25813,25719,4885.65,4602.86,4889.48
518,100,25870,25776,4886.04,4603.40,4890.32
519,100,25908,25813,4887.03,4603.87,4890.91
520,100,25965,25870,4890.02,4605.48,4893.98
521,100,26021,25984,4892.80,4607.35,4895.92
522,100,26059,25984,4893.78,4607.82,4897.64
523,100,26116,26021,4893.05,4607.90,4897.50
524,100,26173,26078,4895.51,4609.53,4899.41
525,100,26210,26116,4896.90,4609.56,4900.48
526,100,26267,26173,4898.58,4611.38,4902.49
527,100,26324,26229,4899.99,4612.15,4904.22
528,100,26362,26267,4899.41,4611.51,4903.49
529,100,26418,26324,4901.07,4612.83,4905.21
530,100,26475,26380,4903.05,4614.35,4907.50
531,100,26513,26418,4904.76,4615.10,4909.01
532,100,26570,26475,4906.48,4617.04,4911.10
533,100,26607,26513,4905.85,4615.95,4910.05
534,100,26664,26570,4909.05,4617.60,4912.64
535,100,26721,26626,4911.94,4619.89,4915.76
536,100,26759,26664,4913.22,4620.43,4917.63
537,100,26815,26721,4915.83,4622.21,4919.96
538,100,26872,26777,4917.06,4623.23,4921.25
539,100,26910,26815,4919.04,4624.14,4923.49
540,100,26967,26872,4920.53,4624.85,4924.59
541,100,27023,26929,4919.25,4625.38,4924.53
542,100,27061,26967,4921.44,4626.19,4925.61
543,100,27118,27023,4923.54,4627.08,4928.42
544,100,27174,27080,4925.13,4628.51,4930.12
545,100,27212,27118,4926.50,4628.96,4931.09
546,100,27269,27174,4927.49,4629.18,4931.63
547,100,27307,27212,4930.17,4631.55,4934.62
548,100,27363,27269,4932.45,4632.76,4936.38
549,100,27420,27326,4933.57,4633.55,4938.13
550,100,27458,27363,4934.56,4634.53,4939.41
551,100,27515,27420,4935.64,4635.10,4940.05
552,100,27571,27477,4935.71,4634.94,4940.29
553,100,27609,27515,4938.41,4636.44,4943.04
